x,y
7.120210061,4563.76
8.864250028,5626.24
7.030750395,10128.22
121.020155,71360.83
127.5856926,70765.85
310.0114268,364462.08
9.095962936,5830.08
5.902976138,3783.58
28.42896947,34388.74
18.49843204,26803.11
38.63314635,55418.96
2.691708155,3462.02
0.415929993,530.38
24.84112355,35606.24
5.499051109,6721.13
20.41814785,24802.98
8.493668468,5444.2
28.63068022,17727.94
1.440607263,2053.52
1.421488248,2027.89
6.930459972,10328.57
12.45054965,7714.49
12.80073413,18347.94
1.570787506,2249.46
15.24715946,18930.88
1.512155847,2157.21
1.239610466,1560.71
82.30184529,48530.23
138.0443951,197865.41
3.972520086,5694.08
47.89633066,68635.83
8.875129724,12721.22
1.409305188,2020.05
1.79494017,2193.85
643.3256056,357571.88
6.78171058,9720.7
0.717238416,867.59
54.60814752,78272.3
51.01721824,30082.94
3.724797983,4552.59
1.977300442,2834.17
9.98650698,6187.76
1.655312371,2023.22
33.78473903,48425.16
5.48285659,7858.93
0.8825031,1259
6.237951497,8941.21
0.759769073,1139.08
8.323583613,12060.39
36.01670733,43750.3
10.74472678,15400.97
0.918462732,1400.34
2.292901785,3271.02
89.10060004,103401.26
7.493579634,10740.96
25.43581929,31718.18
1.883272757,2290.64
3.697881026,5358.04
30.03271205,18608.35
29.82631387,36966.92
5.921467599,8487.58
39.02164762,56539.69
0.599320377,631.83
0.8850306,1262.58
1.005200162,590.43
1.360936881,1950.71
19.06230754,27619.67
34.79893783,47216.29
173.6437789,181945.63
14.88864446,21340.6
21.82523934,31623.77
9.849900037,11143.3
2.040161456,2797.2
34.19122165,49007.84
46.62753205,53748.02
3.708951931,5080.74
0.429311793,615.16
4.795234183,5860.92
30.06570458,34541.46
20.03923522,20270.03
0.36691434,506.44
5.475566021,6645.4
140.4541302,82820.24
11.3707087,7045.42
11.10922278,12246.28
20.8157691,23525.1
4.533709102,5831.03
4.934386082,6051.52
8.479555886,5517.32
51.53213544,30386.57
1.762668207,2526.52
54.3218666,65983.18
1.567146063,2246.29
17.96964739,11134.11
4.227291119,5790.73
0.49553069,715.94
0.584637113,838
7.992117489,9783.73
10.57408165,15321.18
26.39231647,16352.81
106.5915237,105562.76
7.735003714,11086.95
39.19855241,47413.66
26.1184116,16183.06
4.127795041,5916.61
28.73216457,34755.42
1.022175421,1305.45
30.97373896,17596.24
7.974668219,10246.96
14.11501071,20231.75
24.50259599,29639.73
103.2103902,60859.16
11.39318372,7054.51
11.07126979,15869.07
1.423282548,2039.48
3.715467069,5285.72
4.461721055,5453.28
19.88325236,12319.8
10.57378192,15320.79
7.430875201,10766.69
27.85659263,16465.15
12.01614074,17223.35
200.9809025,227335.06
5.603034664,6783.91
43.44785813,50029.38
27.85034604,16422.42
92.73263857,49452.49
20.19714082,29264.38
12.19221638,17475.66
25.80112028,15986.42
6.69918184,7722.77
23.27674972,33363.51
0.87750813,1073.5
13.44782153,16436.47
4.598775289,4615.77
108.9927559,128657.09
3.819939891,4620.5
37.9990098,22406.61
2.297669368,2808.31
3.803185323,4619.83
18.98947808,11757.81
14.35714237,18447.97
5.286805201,6751.84
4.112951445,5027.04
1.387463807,1988.74
9.838353592,6095.83
14.15371191,20286.92
30.56063717,34095.44
9.79672372,11984.92
14.89151475,16143.5
8.437880586,12094.39
1.288403802,1558.44
2.731944475,3339.08
4.279399861,5374.34
6.613335023,8083.13
14.50781775,20680.12
2.63948383,3226.11
62.92419416,71191.65
25.57282179,29447.17
0.49358744,711.72
9.552336193,13692.17
2.295850629,3275.23
1.426337771,2034.78
11.14026326,14240.89
1.355273526,1730.86
22.87762069,14175.08
73.83629957,43539.62
24.5976172,35115.12
2.085987992,3124.58
0.36691434,506.44
18.05517779,25879.33
74.623733,90732.17
36.45231316,18484.81
1.863705312,2671.33
21.55795489,30900.03
1.49393746,2022.85
3.28656171,1633.33
25.49068095,17511.55
95.0933778,53495.46
3.933981308,5892.63
12.43807103,15997.09
4.366210734,5619.31
12.00000349,17200.15
1.998676093,2864.8
0.117523547,185.76
9.13413926,11032.69
23.99264367,29020.78
19.85190226,20080.54
22.4798041,15443.18
3.895790852,4761.59
10.2451647,6041.35
10.16011327,6295.32
15.43249214,18862.23
36.95667968,46120.58
31.83762065,45634.33
3.673041911,3149.7
5.459171403,7824.88
209.3998632,116596.68
8.706969001,12480.11
6.275513553,8995.1
54.23097932,57829.4
2.854564484,4091.59
29.45752662,31127.77
19.63100968,28138.07
4.617853138,2959.95
0.496877893,602.32
0.72665192,730.5
3.055023837,3846.37
0.584637113,838
25.25995784,15651.12
18.43733948,11423.88
2.215023049,3174.93
11.6222919,16658.75
14.72234307,14788.21
18.38690603,11392.67
15.9877777,19541.12
37.71240925,39754.96
51.64359911,52345.83
3.168116752,3676.87
1.913410708,1190.05
1.170574144,1677.86
29.67362815,33352.41
1.694911313,2429.44
2.547575198,3160.37
6.100831606,3834.28
14.53868808,16189.79
20.29047294,25546.27
25.77806046,33123.17
11.90033214,7034.03
2.671883928,1737.23
0.186260123,237.89
1.855395723,2646.88
149.0572959,95104.66
12.85352425,18623.95
6.745580265,8399.74
80.09187683,47227.05
2.74962548,3941.2
0.36691434,506.44
133.5207056,110818.34
60.44916599,35644.56
6.861721984,8266.58
13.52008015,16434.65
2.447033066,2900.75
9.379137068,13589.77
2.674429722,3268.81
17.49345509,21573.05
105.9560859,62478.11
130.1767391,72379.95
113.2160256,66762.64
39.36882335,24392.96
8.328882505,11060.69
24.9760875,14717.29
9.224677893,13222.15
2.86327555,3526.48
15.415638,9551.69
3.125862883,4480.46
53.57105266,53319.07
27.97366638,16534.31
1.675988747,1091.49
33.74221227,48364.3
1.464049678,2121.3
0.359770495,510.6
2.357930462,3379.75
7.342506313,10524.39
4.742579457,5736.52
3.119171882,4470.91
1.897218606,2318.88
5.546778408,7950.44
14.6888188,21054.18
43.57392829,51485.85
25.49050791,17511.45
5.994079106,7257.41
3.905958298,5598.64
5.314659643,6829
0.755457248,1025.88
7.035005018,9048.08
3.748636519,4585.9
5.368759978,3293.9
5.527774836,3391.41
35.21007129,42771.39
4.250391329,6043.92
0.36691434,506.44
4.08459349,4957.18
13.37222924,9192.33
4.257763282,6102.85
67.5771771,39847.7
107.1252049,112005.53
3.816813934,5530.33
15.04744372,15767.23
